factory_id,fingerprint_name,shap_value,direction
site_1232,rolling_cov,0.1711,RISK_INCREASE
site_1232,flatline_flag,-4.4888,RISK_DECREASE
site_1232,corr_ETP-Flow_ETP-pH,-0.4915,RISK_DECREASE
site_1232,corr_ETP-BOD_ETP-COD,-0.8349,RISK_DECREASE
site_1232,corr_ETP-BOD_ETP-Flow,0.003,RISK_INCREASE
site_1232,corr_ETP-BOD_ETP-TSS,0.429,RISK_INCREASE
site_1232,corr_ETP-BOD_ETP-pH,-0.158,RISK_DECREASE
site_1232,corr_ETP-COD_ETP-Flow,0.0075,RISK_INCREASE
site_1232,corr_ETP-COD_ETP-TSS,0.2016,RISK_INCREASE
site_1232,corr_ETP-COD_ETP-pH,-0.5109,RISK_DECREASE
site_1232,corr_ETP-Flow_ETP-TSS,0.0009,RISK_INCREASE
site_1232,corr_ETP-TSS_ETP-pH,0.009,RISK_INCREASE
site_1232,autocorrelation,-1.3866,RISK_DECREASE
site_1232,missing_rate,0.0,NEUTRAL
site_1232,limit_hugging,-0.9808,RISK_DECREASE
site_1232,bdl_rate,0.06,RISK_INCREASE
site_1232,duplicate_run_length,-1.8477,RISK_DECREASE
site_1232,cov_severity,0.0,NEUTRAL
site_1232,bod_cod_ratio,-0.0418,RISK_DECREASE
site_1232,bod_cod_ratio_volatility,-0.0382,RISK_DECREASE
site_1232,pre_inspection_dip_score,0.082,RISK_INCREASE
site_1232,coordinated_missing_flag,-3.9303,RISK_DECREASE
site_1247,value,1.8017,RISK_INCREASE
site_1247,rolling_mean,-0.4318,RISK_DECREASE
site_1247,rolling_std,-0.1292,RISK_DECREASE
site_1247,rolling_cov,1.1798,RISK_INCREASE
site_1247,flatline_flag,1.4105,RISK_INCREASE
site_1247,corr_ETP-Flow_ETP-pH,-0.6032,RISK_DECREASE
site_1247,corr_ETP-BOD_ETP-COD,-0.2534,RISK_DECREASE
site_1247,corr_ETP-BOD_ETP-Flow,-0.0008,RISK_DECREASE
site_1247,corr_ETP-BOD_ETP-TSS,0.3402,RISK_INCREASE
site_1247,corr_ETP-BOD_ETP-pH,-0.105,RISK_DECREASE
site_1247,corr_ETP-COD_ETP-Flow,0.0113,RISK_INCREASE
site_1247,corr_ETP-COD_ETP-TSS,0.1546,RISK_INCREASE
site_1247,corr_ETP-COD_ETP-pH,-0.2732,RISK_DECREASE
site_1247,corr_ETP-Flow_ETP-TSS,0.001,RISK_INCREASE
site_1247,corr_ETP-TSS_ETP-pH,0.0092,RISK_INCREASE
site_1247,autocorrelation,0.1376,RISK_INCREASE
site_1247,missing_rate,0.0,NEUTRAL
site_1247,limit_hugging,-0.1091,RISK_DECREASE
site_1247,bdl_rate,0.0392,RISK_INCREASE
site_1247,duplicate_run_length,1.3337,RISK_INCREASE
site_1247,cov_severity,0.0,NEUTRAL
site_1247,bod_cod_ratio,-0.0184,RISK_DECREASE
site_1247,bod_cod_ratio_volatility,-0.0218,RISK_DECREASE
site_1247,pre_inspection_dip_score,0.0574,RISK_INCREASE
site_1247,coordinated_missing_flag,10.1429,RISK_INCREASE
site_1256,value,2.5029,RISK_INCREASE
site_1256,rolling_mean,1.2694,RISK_INCREASE
site_1256,rolling_std,-0.5878,RISK_DECREASE
site_1256,rolling_cov,0.1317,RISK_INCREASE
site_1256,flatline_flag,0.6394,RISK_INCREASE
site_1256,corr_ETP-Flow_ETP-pH,2.8156,RISK_INCREASE
site_1256,corr_ETP-BOD_ETP-COD,-0.6458,RISK_DECREASE
site_1256,corr_ETP-BOD_ETP-Flow,0.003,RISK_INCREASE
site_1256,corr_ETP-BOD_ETP-TSS,0.8302,RISK_INCREASE
site_1256,corr_ETP-BOD_ETP-pH,-0.1415,RISK_DECREASE
site_1256,corr_ETP-COD_ETP-Flow,0.0108,RISK_INCREASE
site_1256,corr_ETP-COD_ETP-TSS,0.4471,RISK_INCREASE
site_1256,corr_ETP-COD_ETP-pH,-0.3413,RISK_DECREASE
site_1256,corr_ETP-Flow_ETP-TSS,0.0013,RISK_INCREASE
site_1256,corr_ETP-TSS_ETP-pH,0.0104,RISK_INCREASE
site_1256,autocorrelation,-1.4797,RISK_DECREASE
site_1256,missing_rate,0.0,NEUTRAL
site_1256,limit_hugging,-0.1906,RISK_DECREASE
site_1256,bdl_rate,0.1873,RISK_INCREASE
site_1256,duplicate_run_length,1.3808,RISK_INCREASE
site_1256,cov_severity,0.0,NEUTRAL
site_1256,bod_cod_ratio,0.002,RISK_INCREASE
site_1256,bod_cod_ratio_volatility,-0.0257,RISK_DECREASE
site_1256,pre_inspection_dip_score,0.1238,RISK_INCREASE
site_1256,coordinated_missing_flag,-2.1862,RISK_DECREASE
site_1257,value,-7.7245,RISK_DECREASE
site_1257,rolling_mean,-4.6107,RISK_DECREASE
site_1257,rolling_std,-0.4956,RISK_DECREASE
site_1257,rolling_cov,-0.3839,RISK_DECREASE
site_1257,flatline_flag,-1.4843,RISK_DECREASE
site_1257,corr_ETP-Flow_ETP-pH,1.7168,RISK_INCREASE
site_1257,corr_ETP-BOD_ETP-COD,-0.8884,RISK_DECREASE
site_1257,corr_ETP-BOD_ETP-Flow,0.0021,RISK_INCREASE
site_1257,corr_ETP-BOD_ETP-TSS,0.2926,RISK_INCREASE
site_1257,corr_ETP-BOD_ETP-pH,-0.15,RISK_DECREASE
